id,name,ref_url,data
1,aardvark,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""aardvark"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
2,aardwolf,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""aardwolf"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
3,baboon,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""baboon"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
4,batEaredFox,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""batEaredFox"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
5,buffalo,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""buffalo"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": true, ""herbivore"": true, ""Nrum"": false, ""browser"": false}"
6,bushbuck,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""bushbuck"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": true, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
7,caracal,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""caracal"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
8,cheetah,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""cheetah"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
9,civet,,"{""omnivore"": false, ""carnivore"": true, ""LBr"": false, ""insectivore"": false, ""name"": ""civet"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
10,dikDik,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""dikDik"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": true, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
11,eland,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""eland"", ""ref_url"": """", ""grazer"": true, ""MSMix"": true, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
12,elephant,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""elephant"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": true, ""browser"": true}"
13,gazelleGrants,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""gazelleGrants"", ""ref_url"": """", ""grazer"": true, ""MSMix"": true, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
14,gazelleThomsons,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""gazelleThomsons"", ""ref_url"": """", ""grazer"": true, ""MSMix"": true, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
15,genet,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": true, ""name"": ""genet"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
16,giraffe,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": true, ""insectivore"": false, ""name"": ""giraffe"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": true}"
17,guineaFowl,,"{""omnivore"": true, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""guineaFowl"", ""ref_url"": """", ""grazer"": false, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": false, ""Nrum"": false, ""browser"": false}"
18,hare,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""hare"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": false, ""browser"": false}"
19,hartebeest,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""hartebeest"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": true, ""herbivore"": true, ""Nrum"": false, ""browser"": false}"
20,hippopotamus,,"{""omnivore"": false, ""carnivore"": false, ""LBr"": false, ""insectivore"": false, ""name"": ""hippopotamus"", ""ref_url"": """", ""grazer"": true, ""MSMix"": false, ""SNSBr"": false, ""WDGr"": false, ""herbivore"": true, ""Nrum"": true, ""browser"": false}"
